trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.6, 'e': 0.5488116360940264}",20,0,-57.01415527444969,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.6, 'e': 0.5433508690744998}",20,12,-26.321661838668,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.5379444375946745}",20,0,-18.547025771739793,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.6, 'e': 0.5325918010068972}",30,18,-32.902545636377724,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.6, 'e': 0.5272924240430485}",30,0,-55.95392231359631,"{0: 24, 1: 0, 2: 3, 3: 3, 4: 0}",0
65,False,"{'a': 0.6, 'e': 0.522045776761016}",30,8,-76.42552239592933,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 1}",1
66,False,"{'a': 0.6, 'e': 0.5168513344916992}",20,0,-98.3473519062944,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.6, 'e': 0.5117085777865424}",20,0,-62.99551504078207,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.6, 'e': 0.5066169923655895}",25,6,-51.229300419777466,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
69,False,"{'a': 0.6, 'e': 0.5015760690660555}",30,0,-55.37055990536193,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.6, 'e': 0.49658530379140947}",30,0,12.842276420951842,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.4916441974609651}",25,8,-86.02981412562244,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.6, 'e': 0.4867522559599717}",30,16,-2.265961341460711,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.48190899009020244}",20,6,-35.493715156446555,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.6, 'e': 0.4771139155210344}",20,12,-26.72740015730902,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.4723665527410147}",30,14,-9.065543012904255,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.6, 'e': 0.46766642700990924}",20,7,-1.4970086282739539,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.6, 'e': 0.46301306831122807}",30,6,-23.898929702816236,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.6, 'e': 0.4584060113052235}",30,4,-165.92656832882318,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 2}",1
79,False,"{'a': 0.6, 'e': 0.45384479528235583}",30,0,-117.9814398338182,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
80,False,"{'a': 0.6, 'e': 0.44932896411722156}",20,9,-29.815582565496463,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.6, 'e': 0.4448580662229411}",20,3,-94.47178892482341,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
82,False,"{'a': 0.6, 'e': 0.44043165450599925}",30,10,-41.17920568532237,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.6, 'e': 0.43604928632153556}",20,0,-52.135637938907074,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.6, 'e': 0.43171052342907973}",30,0,-35.877688309203975,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.6, 'e': 0.4274149319487267}",20,0,-45.00293026588189,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.6, 'e': 0.4231620823177488}",25,0,5.7514902945717274,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.6, 'e': 0.418951549247639}",30,1,-44.53279852178953,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.6, 'e': 0.4147829116815814}",20,15,8.910475356876937,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.4106557527523455}",20,6,4.598114943404245,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.4065696597405991}",20,0,-11.225141076839108,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.6, 'e': 0.40252422403363597}",20,13,-40.19184798175383,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.6, 'e': 0.39851904108451414}",20,13,-42.036663098294724,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.6, 'e': 0.3945537103716011}",20,9,-16.78201384763308,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.3906278353585211}",25,0,-41.85620907997331,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.6, 'e': 0.3867410234545012}",20,2,-5.477124246438426,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.38289288597511206}",30,0,-6.834064922565926,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.6, 'e': 0.37908303810339883}",20,8,-29.671194249867654,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.6, 'e': 0.37531109885139957}",25,15,7.030496014107515,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.3715766910220457}",20,0,-16.880256016949915,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.36787944117144233}",20,0,-88.63911334472915,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.6, 'e': 0.3642189795715233}",20,5,0.19649016589402235,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.3605949401730783}",20,2,-115.60498927310226,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
103,False,"{'a': 0.6, 'e': 0.3570069605691474}",20,3,-5.1677732944112815,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.35345468195878016}",20,0,-32.77979413079931,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.6, 'e': 0.3499377491111553}",20,0,-13.470124297084032,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
106,False,"{'a': 0.6, 'e': 0.3464558103300574}",25,7,-62.44198806557852,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
107,False,"{'a': 0.6, 'e': 0.34300851741870664}",20,0,-24.0702264823672,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.6, 'e': 0.3395955256449391}",30,15,-92.40675408152153,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
109,False,"{'a': 0.6, 'e': 0.33621649370673334}",30,17,-3.7004015251334756,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.33287108369807955}",20,0,12.097001854194597,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.6, 'e': 0.32955896107518906}",20,0,-14.94121623427749,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
112,False,"{'a': 0.6, 'e': 0.32627979462303947}",30,0,-18.928145014278584,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.6, 'e': 0.3230332564222529}",35,27,11.792444405968057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.31981902181630384}",25,13,17.770499999368738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.31663676937905316}",20,0,28.70462366806196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.6, 'e': 0.3134861808826053}",35,7,-62.491553340240785,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 2}",1
117,False,"{'a': 0.6, 'e': 0.31036694126548503}",20,12,-27.523743906257437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.6, 'e': 0.30727873860113125}",25,15,19.552378703766045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.3042212640667041}",20,0,-21.059479365187155,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.6, 'e': 0.30119421191220214}",30,0,34.72497059577751,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.6, 'e': 0.2981972794298874}",20,0,28.275401025390323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.2952301669240142}",25,8,-0.9272900264347461,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.2922925776808594}",25,5,-9.967559115580473,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.6, 'e': 0.2893842179390506}",20,3,2.7416615502891837,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.2865047968601901}",25,0,-19.406098278391184,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.6, 'e': 0.2836540264997704}",25,16,13.489999525939165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.2808316217783798}",30,10,-23.10663641398243,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.6, 'e': 0.27803730045319414}",25,11,14.909982082178221,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.27527078308975234}",20,0,29.538967655312774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.6, 'e': 0.2725317930340126}",20,0,4.281053646833303,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.6, 'e': 0.2698200563846868}",25,13,-4.206580867134917,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.6, 'e': 0.26713530196585034}",25,0,-110.99004438467858,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.6, 'e': 0.26447726129982396}",25,15,3.455142907079546,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.261845668580326}",30,0,-54.499207999962444,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
135,False,"{'a': 0.6, 'e': 0.2592402606458915}",20,0,-58.537537265191574,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.6, 'e': 0.2566607769535559}",20,3,12.675906702344065,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.25410695955280027}",20,8,-21.08630147593404,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.25157855305975646}",25,2,-19.932005152155455,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.6, 'e': 0.24907530463166816}",20,12,-14.695245385869937,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.24659696394160643}",20,8,-28.607319973229462,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.6, 'e': 0.2441432831534371}",30,19,18.598978661562533,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.24171401689703645}",20,0,-33.894020911198,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
143,False,"{'a': 0.6, 'e': 0.23930892224375455}",20,0,8.041168454952974,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.6, 'e': 0.23692775868212176}",20,0,1.8902288978742163,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
145,False,"{'a': 0.6, 'e': 0.23457028809379765}",20,8,20.11628919320834,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.23223627472975883}",20,5,27.5324878358861,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.22992548518672384}",20,13,10.934506634349233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.22763768838381274}",30,0,-10.43733322615038,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.6, 'e': 0.22537265553943872}",20,0,-27.90921293002149,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.6, 'e': 0.22313016014842982}",25,0,-8.209077600494512,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
151,False,"{'a': 0.6, 'e': 0.2209099779593782}",25,0,-13.009660226424693,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
152,False,"{'a': 0.6, 'e': 0.21871188695221475}",25,0,-73.0331807170343,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.6, 'e': 0.21653566731600707}",20,0,14.881734709604768,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.6, 'e': 0.21438110142697794}",20,13,7.4467946285648745,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.21224797382674304}",25,5,-15.892314216190199,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.21013607120076472}",20,15,11.456109582014177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.20804518235702046}",20,0,-23.411152766328918,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.6, 'e': 0.20597509820488344}",25,0,30.30252729701956,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.6, 'e': 0.20392561173421342}",30,0,-18.077604528379343,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.6, 'e': 0.20189651799465538}",25,6,32.25108730479054,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.1998876140751445}",25,0,20.872407901043132,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.19789869908361465}",30,13,16.845966412249126,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.19592957412690934}",35,23,17.08056713502363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.19398004229089189}",20,12,13.832680992787173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.19204990862075408}",20,0,7.981471198281972,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.1901389801015205}",25,13,18.71112357149529,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.1882470656387468}",25,4,10.885435020117072,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.18637397603940997}",20,10,16.8687793215811,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.18451952399298926}",20,7,-13.459855047514932,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.18268352405273466}",20,9,17.320774531576333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.1808657926171221}",25,0,-53.02960260891238,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
172,False,"{'a': 0.6, 'e': 0.17906614791149322}",30,3,-22.065153093676916,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 1}",1
173,False,"{'a': 0.6, 'e': 0.17728440996987782}",20,13,12.996660143979174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.17552040061699686}",20,14,10.324504301390604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.17377394345044514}",20,0,15.676861942277707,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.6, 'e': 0.17204486382305054}",20,1,-16.57621206198329,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.6, 'e': 0.17033298882540943}",20,11,18.56944637711303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.1686381472685955}",20,0,11.198238982790972,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
179,False,"{'a': 0.6, 'e': 0.1669601696670407}",30,15,26.298733340108843,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.16529888822158653}",25,10,-0.22670868866664562,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.6, 'e': 0.16365413680270405}",30,0,-102.68853971582568,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
182,False,"{'a': 0.6, 'e': 0.16202575093388075}",20,12,2.8987990426346912,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.16041356777517274}",20,0,-39.55736359747067,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
